Company Name,Industry,Country,GenAI Tool,Adoption Year,Number of Employees Impacted,New Roles Created,Training Hours Provided,Productivity Change (%),Employee Sentiment
Ruiz-Gomez Pvt. Ltd.,Telecom,Japan,LLaMA,2022,19797,20,24058,3.6,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
"Ramsey, Castro and Rogers Pvt. Ltd.",Education,UAE,LLaMA,2022,9493,1,21501,17.3,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
Olsen and Sons Pvt. Ltd.,Finance,Brazil,Claude,2022,2725,20,17914,30.0,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
Barber-Cunningham Pvt. Ltd.,Utilities,Australia,Groq,2023,1512,9,13034,4.3,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
Villarreal PLC Pvt. Ltd.,Transportation,Japan,LLaMA,2022,16387,25,10936,7.9,"Mixed responses—management excited, staff feel uncertain. My team adapted faster than others."
Murray-Walker Pvt. Ltd.,Transportation,USA,ChatGPT,2023,15807,11,7342,23.4,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
"Hull, Obrien and Anderson Pvt. Ltd.",Transportation,Canada,LLaMA,2023,2713,1,10087,27.5,"Mixed responses—management excited, staff feel uncertain. Clients now expect faster results due to AI use."
"Gentry, Mccoy and Rodriguez Pvt. Ltd.",Utilities,Germany,Gemini,2023,19536,25,14685,4.2,"AI helped me reduce repetitive tasks, but learning curve was steep. Clients now expect faster results due to AI use."
Bridges Ltd Pvt. Ltd.,Entertainment,Japan,ChatGPT,2024,5901,18,12886,17.4,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Boyle-Smith Pvt. Ltd.,Healthcare,Brazil,ChatGPT,2022,1354,11,14373,17.4,"Mixed responses—management excited, staff feel uncertain. Some departments feel left behind."
Dalton-Clark Pvt. Ltd.,Transportation,France,ChatGPT,2024,17137,21,16124,17.9,There's concern that AI will replace some of us soon. Managers were initially skeptical.
Cobb-Perez Pvt. Ltd.,Retail,UK,Gemini,2023,14764,27,17842,26.2,I love using AI—it makes my job easier and more fun. It changed how we communicate internally.
Gomez PLC Pvt. Ltd.,Healthcare,Singapore,Gemini,2023,13826,10,20482,31.5,"We now finish tasks faster, but some older employees are struggling. Internal newsletters now highlight AI use cases."
Walker Inc Pvt. Ltd.,Retail,Singapore,LLaMA,2022,3615,6,4399,16.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
"Melendez, Gardner and Preston Pvt. Ltd.",Utilities,UAE,Claude,2023,2952,20,13521,5.9,I love using AI—it makes my job easier and more fun. Managers were initially skeptical.
"Nichols, Ramirez and Harper Pvt. Ltd.",Defense,UAE,ChatGPT,2022,7981,28,6712,24.6,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
"Holt, Grant and Smith Pvt. Ltd.",Advertising,Germany,Groq,2023,14175,3,13321,7.1,"Collaboration improved; documentation and meetings are more efficient. Overall, it's a big shift."
Williams-Flynn Pvt. Ltd.,Defense,Australia,Gemini,2023,7125,12,13022,33.4,There's concern that AI will replace some of us soon. Managers were initially skeptical.
Brown Ltd Pvt. Ltd.,Manufacturing,Brazil,LLaMA,2024,5729,6,18158,34.0,Collaboration improved; documentation and meetings are more efficient. Internal newsletters now highlight AI use cases.
Richardson-Montoya Pvt. Ltd.,Retail,Australia,Gemini,2022,19793,23,16512,5.1,"We now finish tasks faster, but some older employees are struggling. Some departments feel left behind."
"Johnson, Vazquez and Jones Pvt. Ltd.",Manufacturing,Canada,Mixtral,2022,14607,12,16857,23.9,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
Sawyer-Green Pvt. Ltd.,Transportation,Japan,Mixtral,2024,6099,1,19433,21.8,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
Johnson Inc Pvt. Ltd.,Defense,Canada,Mixtral,2023,17415,11,19154,17.7,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
Green Inc Pvt. Ltd.,Utilities,France,Claude,2022,913,28,16187,28.4,"We now finish tasks faster, but some older employees are struggling. It changed how we communicate internally."
Jackson-Torres Pvt. Ltd.,Defense,USA,Claude,2024,1974,11,10974,18.2,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
"Johnson, Marshall and Mahoney Pvt. Ltd.",Manufacturing,Germany,LLaMA,2022,12741,5,4396,10.3,I love using AI—it makes my job easier and more fun. Internal newsletters now highlight AI use cases.
Stephenson Inc Pvt. Ltd.,Manufacturing,Canada,Mixtral,2024,16313,21,13280,27.4,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Williams Ltd Pvt. Ltd.,Utilities,Canada,Mixtral,2022,3373,16,21769,5.6,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
Dorsey Group Pvt. Ltd.,Retail,Germany,LLaMA,2023,19506,4,8381,27.2,I love using AI—it makes my job easier and more fun. My team adapted faster than others.
"Brown, Wolfe and Taylor Pvt. Ltd.",Hospitality,Australia,Gemini,2023,5303,23,24353,20.7,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
"Smith, Perez and Maldonado Pvt. Ltd.",Manufacturing,Singapore,Gemini,2024,2529,1,6241,4.9,There's concern that AI will replace some of us soon. Some departments feel left behind.
Arnold Inc Pvt. Ltd.,Retail,South Korea,Gemini,2024,6484,19,18107,12.3,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
Thornton Group Pvt. Ltd.,Education,Brazil,Gemini,2023,6439,28,10085,17.0,Our workflows have improved drastically with generative AI. Managers were initially skeptical.
Lewis-Edwards Pvt. Ltd.,Telecom,South Africa,ChatGPT,2024,4391,23,16528,24.5,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
"Myers, Smith and Jones Pvt. Ltd.",Entertainment,Germany,LLaMA,2023,16509,16,7559,31.6,"Productivity increased, but there's anxiety about job security. HR hosted webinars weekly."
Cruz Group Pvt. Ltd.,Legal Services,Germany,Groq,2022,6502,23,11280,18.6,There's concern that AI will replace some of us soon. Monthly town halls discuss the AI rollout.
Garcia-Henderson Pvt. Ltd.,Healthcare,France,ChatGPT,2023,17670,13,8827,8.0,There's concern that AI will replace some of us soon. Clients now expect faster results due to AI use.
Edwards-Jordan Pvt. Ltd.,Hospitality,South Africa,Claude,2023,5660,16,21448,3.1,"Productivity increased, but there's anxiety about job security. Managers were initially skeptical."
Pena PLC Pvt. Ltd.,Entertainment,Japan,Groq,2022,3912,21,10976,21.3,There's concern that AI will replace some of us soon. Internal newsletters now highlight AI use cases.
"Miller, Snyder and Leblanc Pvt. Ltd.",Hospitality,UK,Mixtral,2023,1226,10,3776,24.9,There's concern that AI will replace some of us soon. Job rotations have increased.
Hall-Hoffman Pvt. Ltd.,Technology,South Africa,ChatGPT,2024,4635,4,20665,7.0,"I love using AI—it makes my job easier and more fun. Overall, it's a big shift."
"Murphy, Shelton and Hanson Pvt. Ltd.",Retail,USA,Groq,2024,428,20,24618,7.0,"Job roles have shifted a lot, which is both good and scary. Overall, it's a big shift."
Bennett Group Pvt. Ltd.,Retail,Singapore,Mixtral,2023,11116,7,6660,17.6,New roles are exciting; transition was smoother than expected. Clients now expect faster results due to AI use.
Garza PLC Pvt. Ltd.,Defense,South Korea,Gemini,2024,9795,5,21730,20.1,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
"Nichols, Thomas and Jones Pvt. Ltd.",Education,South Korea,Groq,2024,1238,2,24204,7.2,"Job roles have shifted a lot, which is both good and scary. Job rotations have increased."
Jones-Hopkins Pvt. Ltd.,Utilities,India,Gemini,2023,5503,1,24067,16.7,"We now finish tasks faster, but some older employees are struggling. Overall, it's a big shift."
Cummings-Franklin Pvt. Ltd.,Defense,Australia,Gemini,2023,2196,9,17561,10.2,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
Smith-Martin Pvt. Ltd.,Advertising,Australia,ChatGPT,2023,17744,16,2847,16.0,"We now finish tasks faster, but some older employees are struggling. Monthly town halls discuss the AI rollout."
Williams and Sons Pvt. Ltd.,Entertainment,Japan,ChatGPT,2023,11765,2,17494,30.5,"Mixed responses—management excited, staff feel uncertain. Overall, it's a big shift."
"Liu, Clayton and Smith Pvt. Ltd.",Telecom,France,Groq,2022,17121,11,3910,18.0,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
Colon-Hays Pvt. Ltd.,Utilities,Australia,Mixtral,2024,18505,21,11139,20.6,"Productivity increased, but there's anxiety about job security. My team adapted faster than others."
Parker-Grant Pvt. Ltd.,Legal Services,South Africa,Gemini,2022,13170,13,19158,9.5,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
Nolan Inc Pvt. Ltd.,Education,South Korea,ChatGPT,2023,2853,4,12298,32.7,"Productivity increased, but there's anxiety about job security. Monthly town halls discuss the AI rollout."
Schroeder-Brown Pvt. Ltd.,Healthcare,India,Gemini,2022,10640,6,11393,8.9,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
"Wolf, Rose and Thompson Pvt. Ltd.",Technology,USA,Groq,2024,18774,29,23570,25.6,"Mixed responses—management excited, staff feel uncertain. Monthly town halls discuss the AI rollout."
Joyce-Davenport Pvt. Ltd.,Retail,Switzerland,LLaMA,2023,7363,2,16495,33.7,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
"Hodges, Campbell and Chambers Pvt. Ltd.",Defense,UAE,Mixtral,2022,8918,10,23659,26.7,"I love using AI—it makes my job easier and more fun. Overall, it's a big shift."
Moore Group Pvt. Ltd.,Transportation,UAE,ChatGPT,2022,6625,29,4184,2.9,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
"Cherry, Bailey and Riddle Pvt. Ltd.",Legal Services,Australia,ChatGPT,2024,12326,24,16002,5.6,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
"Delgado, York and Todd Pvt. Ltd.",Hospitality,UAE,Claude,2024,1443,15,1314,2.8,I love using AI—it makes my job easier and more fun. It changed how we communicate internally.
Houston-Carter Pvt. Ltd.,Legal Services,India,Groq,2024,10047,29,13996,12.6,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
Clark-Clark Pvt. Ltd.,Advertising,Canada,LLaMA,2024,1609,27,6564,9.4,New roles are exciting; transition was smoother than expected. Some departments feel left behind.
Williams-Nolan Pvt. Ltd.,Entertainment,South Korea,LLaMA,2024,19827,23,22743,12.3,I love using AI—it makes my job easier and more fun. Monthly town halls discuss the AI rollout.
Molina-Cross Pvt. Ltd.,Advertising,UK,LLaMA,2022,3133,14,2093,17.0,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Crawford Group Pvt. Ltd.,Retail,Canada,Claude,2023,4682,5,15466,9.2,New roles are exciting; transition was smoother than expected. Internal newsletters now highlight AI use cases.
"Thomas, Alvarez and Edwards Pvt. Ltd.",Telecom,France,Claude,2024,2432,26,18335,24.6,"Productivity increased, but there's anxiety about job security. Overall, it's a big shift."
Foster Group Pvt. Ltd.,Legal Services,Japan,Groq,2024,16186,9,6518,34.6,"Our workflows have improved drastically with generative AI. Overall, it's a big shift."
"Harris, Lucero and Hayes Pvt. Ltd.",Legal Services,USA,Groq,2022,12145,19,4437,4.2,"Mixed responses—management excited, staff feel uncertain. Some departments feel left behind."
"Kelly, Potter and Avila Pvt. Ltd.",Advertising,Brazil,Mixtral,2024,7716,1,6705,13.0,"We now finish tasks faster, but some older employees are struggling. Monthly town halls discuss the AI rollout."
"Donaldson, Cooper and Keller Pvt. Ltd.",Technology,Germany,Gemini,2022,3362,17,13662,13.9,New roles are exciting; transition was smoother than expected. Monthly town halls discuss the AI rollout.
Morgan LLC Pvt. Ltd.,Entertainment,Germany,Gemini,2023,15896,12,7451,8.8,There's concern that AI will replace some of us soon. It changed how we communicate internally.
"Carr, Norton and Ewing Pvt. Ltd.",Finance,South Korea,Mixtral,2024,3453,26,1515,34.1,New roles are exciting; transition was smoother than expected. HR hosted webinars weekly.
"Thompson, Smith and Allen Pvt. Ltd.",Finance,Australia,Gemini,2023,1557,17,16488,17.3,"Productivity increased, but there's anxiety about job security. Internal newsletters now highlight AI use cases."
Scott LLC Pvt. Ltd.,Entertainment,Australia,Claude,2023,5198,7,7650,7.3,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
Miranda-Stewart Pvt. Ltd.,Retail,Japan,Groq,2022,6850,23,9940,33.8,Collaboration improved; documentation and meetings are more efficient. Job rotations have increased.
White-Lawrence Pvt. Ltd.,Healthcare,Japan,Mixtral,2024,7661,25,13057,31.6,"We now finish tasks faster, but some older employees are struggling. Managers were initially skeptical."
"Mcdaniel, Johnson and Robertson Pvt. Ltd.",Retail,UK,LLaMA,2024,11039,24,22030,5.6,Our workflows have improved drastically with generative AI. Managers were initially skeptical.
"Molina, Morse and Jordan Pvt. Ltd.",Healthcare,South Africa,ChatGPT,2024,11831,9,11746,24.4,Our workflows have improved drastically with generative AI. Internal newsletters now highlight AI use cases.
"Finley, Wilson and Hunt Pvt. Ltd.",Legal Services,UK,ChatGPT,2023,15433,10,17566,33.8,"Mixed responses—management excited, staff feel uncertain. Clients now expect faster results due to AI use."
Webb-Braun Pvt. Ltd.,Transportation,South Africa,Mixtral,2024,7892,1,9357,3.7,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
Potts-Simmons Pvt. Ltd.,Transportation,India,Claude,2022,14973,22,24853,27.0,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
Washington-Buck Pvt. Ltd.,Entertainment,South Korea,Gemini,2024,267,30,24682,25.9,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
Lewis Inc Pvt. Ltd.,Utilities,Australia,Gemini,2022,9427,9,12949,32.7,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
Taylor and Sons Pvt. Ltd.,Retail,Switzerland,Mixtral,2024,10142,26,17948,6.0,"AI helped me reduce repetitive tasks, but learning curve was steep. It changed how we communicate internally."
Lyons PLC Pvt. Ltd.,Healthcare,UK,Claude,2024,16621,23,4070,11.3,I love using AI—it makes my job easier and more fun. HR hosted webinars weekly.
Parker-Robinson Pvt. Ltd.,Healthcare,Singapore,Groq,2022,12400,16,9462,5.2,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
Day-Harris Pvt. Ltd.,Telecom,Switzerland,ChatGPT,2024,19947,23,9443,27.1,"Job roles have shifted a lot, which is both good and scary. Overall, it's a big shift."
Stevens-Reid Pvt. Ltd.,Entertainment,Switzerland,Groq,2024,4513,18,18618,21.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Some departments feel left behind."
Aguilar and Sons Pvt. Ltd.,Finance,Singapore,Claude,2024,6922,2,24111,22.3,"Job roles have shifted a lot, which is both good and scary. Some departments feel left behind."
Smith and Sons Pvt. Ltd.,Defense,USA,Claude,2022,8103,10,22806,5.8,New roles are exciting; transition was smoother than expected. Job rotations have increased.
"Cochran, Peck and Keller Pvt. Ltd.",Entertainment,South Korea,Groq,2024,8861,10,4551,34.6,"Job roles have shifted a lot, which is both good and scary. Monthly town halls discuss the AI rollout."
"Cox, Higgins and Jenkins Pvt. Ltd.",Legal Services,Switzerland,Mixtral,2024,12689,27,14781,19.8,Collaboration improved; documentation and meetings are more efficient. Internal newsletters now highlight AI use cases.
Perkins-Green Pvt. Ltd.,Technology,USA,Mixtral,2023,13047,7,6037,22.1,"Job roles have shifted a lot, which is both good and scary. My team adapted faster than others."
Powell Inc Pvt. Ltd.,Healthcare,South Africa,Claude,2024,5978,29,9500,12.4,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
"Buckley, Phillips and Henderson Pvt. Ltd.",Advertising,UAE,LLaMA,2024,19053,21,19548,27.0,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Sanchez-Herrera Pvt. Ltd.,Manufacturing,Switzerland,Mixtral,2023,6143,22,24077,13.1,"We now finish tasks faster, but some older employees are struggling. My team adapted faster than others."
Hunt Inc Pvt. Ltd.,Education,UK,Gemini,2022,13298,9,3452,21.1,"Job roles have shifted a lot, which is both good and scary. Managers were initially skeptical."
Williams-Wilkins Pvt. Ltd.,Legal Services,Canada,Gemini,2023,14250,9,11403,27.4,"New roles are exciting; transition was smoother than expected. Overall, it's a big shift."
Young Inc Pvt. Ltd.,Advertising,Singapore,Groq,2024,8184,13,24932,30.7,Our workflows have improved drastically with generative AI. Clients now expect faster results due to AI use.
Crosby LLC Pvt. Ltd.,Legal Services,France,ChatGPT,2024,9808,3,10807,9.5,"Mixed responses—management excited, staff feel uncertain. Job rotations have increased."
"Taylor, Martin and Johnson Pvt. Ltd.",Healthcare,India,Mixtral,2023,17405,18,3202,5.3,"AI helped me reduce repetitive tasks, but learning curve was steep. Managers were initially skeptical."
"Goodman, Ball and Macias Pvt. Ltd.",Manufacturing,South Korea,Groq,2023,8309,21,14473,3.1,"Mixed responses—management excited, staff feel uncertain. HR hosted webinars weekly."
Robinson-Phillips Pvt. Ltd.,Technology,UK,Groq,2023,18068,3,4863,4.5,Collaboration improved; documentation and meetings are more efficient. HR hosted webinars weekly.
Bradford PLC Pvt. Ltd.,Finance,Japan,Groq,2024,12619,18,24782,13.6,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
Sutton Inc Pvt. Ltd.,Education,UK,Claude,2023,18287,2,10696,17.9,I love using AI—it makes my job easier and more fun. Managers were initially skeptical.
Mccullough LLC Pvt. Ltd.,Hospitality,USA,LLaMA,2024,12227,28,12456,13.5,I love using AI—it makes my job easier and more fun. Clients now expect faster results due to AI use.
"Taylor, Jordan and Baker Pvt. Ltd.",Defense,Singapore,Mixtral,2022,2079,11,4472,5.9,"Productivity increased, but there's anxiety about job security. Some departments feel left behind."
Hughes LLC Pvt. Ltd.,Healthcare,Brazil,Claude,2023,10810,1,12912,22.8,"Mixed responses—management excited, staff feel uncertain. Managers were initially skeptical."
"Downs, Walker and Singh Pvt. Ltd.",Healthcare,Japan,LLaMA,2023,308,9,6211,5.7,I love using AI—it makes my job easier and more fun. Some departments feel left behind.
"Lewis, Nguyen and Becker Pvt. Ltd.",Finance,Switzerland,ChatGPT,2024,121,6,7252,32.4,New roles are exciting; transition was smoother than expected. Job rotations have increased.
Griffin-Cox Pvt. Ltd.,Healthcare,Germany,LLaMA,2022,12727,7,8049,7.7,Collaboration improved; documentation and meetings are more efficient. Clients now expect faster results due to AI use.
"Miller, Flores and Marshall Pvt. Ltd.",Hospitality,UK,Claude,2024,18488,2,16590,28.0,"AI helped me reduce repetitive tasks, but learning curve was steep. My team adapted faster than others."
Henson Group Pvt. Ltd.,Legal Services,Germany,Groq,2022,12519,3,12969,30.2,Collaboration improved; documentation and meetings are more efficient. Some departments feel left behind.
"Patterson, Green and Dunn Pvt. Ltd.",Healthcare,USA,Mixtral,2022,15084,14,21085,9.5,Our workflows have improved drastically with generative AI. My team adapted faster than others.
"Brown, Kaufman and Cisneros Pvt. Ltd.",Transportation,Brazil,Mixtral,2024,13438,12,17776,3.7,There's concern that AI will replace some of us soon. HR hosted webinars weekly.
Henry-Graves Pvt. Ltd.,Legal Services,Germany,LLaMA,2022,18267,8,22855,29.1,Collaboration improved; documentation and meetings are more efficient. Monthly town halls discuss the AI rollout.
"Fletcher, Campbell and Cunningham Pvt. Ltd.",Transportation,Switzerland,Mixtral,2022,5418,3,18303,32.8,"Mixed responses—management excited, staff feel uncertain. Internal newsletters now highlight AI use cases."
Jackson-Knox Pvt. Ltd.,Transportation,Japan,Gemini,2023,4509,24,8034,24.9,I love using AI—it makes my job easier and more fun. Job rotations have increased.
Leon PLC Pvt. Ltd.,Retail,South Africa,Gemini,2023,8356,19,22231,24.9,"AI helped me reduce repetitive tasks, but learning curve was steep. Internal newsletters now highlight AI use cases."
"Hubbard, Lin and Jones Pvt. Ltd.",Education,USA,Mixtral,2024,11226,24,1545,29.0,New roles are exciting; transition was smoother than expected. Managers were initially skeptical.
"James, Smith and Mclean Pvt. Ltd.",Education,France,LLaMA,2022,4252,13,13373,26.5,Collaboration improved; documentation and meetings are more efficient. It changed how we communicate internally.
Weaver-Mason Pvt. Ltd.,Healthcare,UAE,Claude,2024,5243,8,1218,30.5,"Job roles have shifted a lot, which is both good and scary. It changed how we communicate internally."
Smith Group Pvt. Ltd.,Transportation,USA,Claude,2023,13259,6,12663,3.3,"We now finish tasks faster, but some older employees are struggling. Job rotations have increased."
"Pham, Fitzpatrick and Smith Pvt. Ltd.",Finance,Singapore,LLaMA,2023,12952,16,14532,10.3,Collaboration improved; documentation and meetings are more efficient. Internal newsletters now highlight AI use cases.
Schultz-Rivers Pvt. Ltd.,Education,India,ChatGPT,2022,5718,28,5889,30.8,There's concern that AI will replace some of us soon. It changed how we communicate internally.
Martinez-Thompson Pvt. Ltd.,Legal Services,USA,Claude,2022,13574,30,13928,5.1,New roles are exciting; transition was smoother than expected. It changed how we communicate internally.
